auction_revenue,social_welfare,social_surplus,my_surplus,my_welfare,my_allocation_regret,my_estimation_regret,my_overbid_regret,my_underbid_regret,my_CTR_RMSE,my_CTR_bias,my_best_expected_value
1.3664595493533795,0.5330042125258351,-0.833455336827545,-0.4301133936838826,0.19058593258869913,0.6771342617467186,0.38909650378502103,0.24278006052197898,0.06309462308456537,0.00014543177850651905,5.339891647962505e+25,0.00029081781638909003
1.1752296273753668,1.247456586139497,0.07222695876412424,0.09792886386393002,0.35490057529184066,0.23190717477481712,0.10636743652363007,0.07247892825874358,0.04031933812134262,9.788875537593865e-05,6.708761905242846e+29,0.0002882758630533149
1.1674132367421817,1.3205687461833775,0.15315550944118217,0.10371272554951143,0.29457816634770667,0.16594086215182516,0.004607526474411719,0.05541662160460721,0.06643163545643664,7.453311452664903e-05,3.1491973188830654e+26,0.0002911051056034354
1.172626661773197,1.3348347066842257,0.16220804491101884,0.10988415381693539,0.32563800900921835,0.14042856191678132,0.008244521700204923,0.060457519759141994,0.05979577376161914,6.574879649673908e-05,36070954221.73114,0.00028973686841506357
1.2134835836785764,1.35824370064502,0.14476011696642985,0.09892413478735089,0.366850619581468,0.14892527955662102,0.009568656149607224,0.059853828894692845,0.03807973770347117,6.537163805903174e-05,3.6372363607513674e+23,0.0002873169343249021
1.1293893940065443,1.4205202531339463,0.2911308591274,0.1498750215885449,0.6107582362417571,0.15486365392893375,-0.00020674559368389023,0.10016273624485157,0.020367651237911063,6.659923573301163e-05,1.1998117958389304e+16,0.00028927809684997646
1.0375240450044798,1.3102160336990607,0.27269198869456596,0.07542862791279203,0.21196026883180571,0.145178149191835,-0.022796564741255156,0.03200182925944875,0.05249184696795918,5.935632204015481e-05,2.48523548730311e+29,0.00029056639878390387
1.057090886014587,1.4127406631109658,0.3556497770963786,0.17120358584769232,0.7025085898890384,0.13298385185659833,-0.033789681277465296,0.14034851186909422,0.02936190568169098,5.9365976664026066e-05,37354.31417630676,0.0002882183760234294
0.9850999535312148,1.316864279623015,0.33176432609179174,0.05534353116589309,0.15114960528392993,0.12420963561242765,-0.042632351757090056,0.026041833915078076,0.05348504470704866,5.462738695745123e-05,67806.05872873422,0.0002904143754904498
1.0863167816677821,1.4217112630428679,0.3353944813750845,0.17909296829513793,0.7012338212159519,0.12707510579712084,-0.034054181045228844,0.10269832185951687,0.025997756073845846,5.5682337144781676e-05,125.64395238661612,0.00029010965103947297
1.0614689836211681,1.2951642679506687,0.23369528432951275,0.028580701900846918,0.07874968697657153,0.12927132684868942,-0.047123278992132575,0.02259513893963889,0.09055838489533573,5.551491470635358e-05,202.02573923679375,0.000288767304800203
1.0936302852995878,1.3929252326626604,0.2992949473630793,0.15898770466599393,0.7619429591479898,0.10960864865182549,-0.024088482374124184,0.14771836569316382,0.02333950075065543,5.39235578470303e-05,0.01334231337883473,0.00028806609771433
1.0634740450912945,1.2953012541731235,0.23182720908184834,0.01769691149290026,0.050266757174296,0.09838517013601755,-0.03030784592496469,0.014471388806059284,0.10139986632921802,5.099352821464436e-05,37.58534634362863,0.0002898949608011392
1.0901707056013743,1.3654738994964097,0.27530319389503954,0.12807760950620664,0.766379215686668,0.12538897725320117,0.036119924529515506,0.17806707916443776,0.011670859746164032,5.8037597684547084e-05,159913799046077.3,0.0002897114477447746
0.9731904733635376,1.3115414544110393,0.3383509810474878,0.13407865452441278,0.34935043126257653,0.1050136741138493,-0.016282757020377018,0.041972643207579347,0.050981002718598525,4.9973752039443134e-05,18.274787012034118,0.00028957476196636947
0.9882756591831496,1.3995426378787865,0.41126697869564816,0.21627659916152933,0.6605812442348569,0.10064176897230502,-0.026962205998149535,0.10998218951514623,0.01930908678497361,5.154128191416897e-05,29.997316611587344,0.00028970430724336487
1.0385681276892882,1.4291424175405096,0.3905742898512305,0.20402052135848658,0.6044361213068039,0.10448621928656933,-0.02826586257973937,0.05403797549324104,0.023642767064342398,5.055288459832684e-05,0.00780723790135269,0.00028714647465993506
1.0796609347298363,1.421171156700782,0.3415102219709448,0.18032299564536539,0.5428454212674125,0.10214123518544256,-0.022487665533132205,0.044954152819071475,0.028074141566416914,4.962947626768059e-05,0.00045990295863072844,0.00028928915319743225
1.1106784484664747,1.4148204240361502,0.30414197556967937,0.15868871428192094,0.48821762582053807,0.09868336037052822,-0.02371283411553105,0.03455044517552182,0.030235912718238132,4.712266401742693e-05,0.07869817147320259,0.0002892811397487729
1.1361862889093775,1.405392864990074,0.26920657608069876,0.1456475483040627,0.5039561716871406,0.08797644372208684,-0.015065093901914304,0.036262544316245086,0.026991004590296224,4.6448676046076284e-05,0.0005716599016204758,0.00028895179946901125
1.1411308280397416,1.4344476156652388,0.2933167876255041,0.1673849076612648,0.574518286580585,0.07565218923689483,-0.026670547475574506,0.054451428439877464,0.016807524171026943,4.558191562625454e-05,0.0003525039854498883,0.00029005714772493605
1.1057134555549881,1.4223121108474759,0.3165986552924852,0.17456147070607606,0.75369553364741,0.09179688280787635,-0.006242236514294242,0.1007441030392577,0.013766006182681702,4.76575362261789e-05,13373.921076066972,0.0002889764341489974
1.0687755367815488,1.302679063965133,0.23390352718356716,0.0270350609096984,0.08148771571093252,0.09665521760772845,-0.01584666016577053,0.024329520148564897,0.08160602139196296,5.131108147532121e-05,8.615478954719041,0.0002874482412885515
1.0696399904756024,1.3992158334468703,0.3295758429712698,0.1698095146638191,0.7794367319495465,0.09254199870912143,-0.019455364448999615,0.16780670112571866,0.011684006798326561,4.761964722136612e-05,93947.97932418833,0.00028843103977397276
